,title,cast,director,keywords,genres
18,Men in Black 3,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",Barry Sonnenfeld,"['time travel', 'time machine', 'alien']","['Action', 'Comedy', 'Science Fiction']"
19,The Hobbit: The Battle of the Five Armies,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",Peter Jackson,"['corruption', 'elves', 'dwarves']","['Action', 'Adventure', 'Fantasy']"
20,The Amazing Spider-Man,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",Marc Webb,"['loss of father', 'vigilante', 'serum']","['Action', 'Adventure', 'Fantasy']"
21,Robin Hood,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']",Ridley Scott,"['robin hood', 'archer', 'knight']","['Action', 'Adventure']"
22,The Hobbit: The Desolation of Smaug,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",Peter Jackson,"['elves', 'dwarves', 'orcs']","['Adventure', 'Fantasy']"
23,The Golden Compass,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",Chris Weitz,"['england', 'compass', 'experiment']","['Adventure', 'Fantasy']"
24,King Kong,"['Naomi Watts', 'Jack Black', 'Adrien Brody']",Peter Jackson,"['film business', 'screenplay', 'show business']","['Adventure', 'Drama', 'Action']"
25,Titanic,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']",James Cameron,"['shipwreck', 'iceberg', 'ship']","['Drama', 'Romance', 'Thriller']"
26,Captain America: Civil War,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",Anthony Russo,"['civil war', 'war', 'marvel comic']","['Adventure', 'Action', 'Science Fiction']"
27,Battleship,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']",Peter Berg,"['fight', 'u.s. navy', 'mind reading']","['Thriller', 'Action', 'Adventure']"
28,Jurassic World,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']",Colin Trevorrow,"['monster', 'dna', 'tyrannosaurus rex']","['Action', 'Adventure', 'Science Fiction']"
29,Skyfall,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",Sam Mendes,"['spy', 'secret agent', 'sociopath']","['Action', 'Adventure', 'Thriller']"
30,Spider-Man 2,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",Sam Raimi,"['dual identity', ""love of one's life"", 'pizza boy']","['Action', 'Adventure', 'Fantasy']"
31,Iron Man 3,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",Shane Black,"['terrorist', 'war on terror', 'tennessee']","['Action', 'Adventure', 'Science Fiction']"
32,Alice in Wonderland,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",Tim Burton,"['based on novel', 'fictional place', 'queen']","['Family', 'Fantasy', 'Adventure']"
33,X-Men: The Last Stand,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']",Brett Ratner,"['mutant', 'marvel comic', 'based on comic book']","['Adventure', 'Action', 'Science Fiction']"
34,Monsters University,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']",Dan Scanlon,"['monster', 'dormitory', 'games']","['Animation', 'Family']"
35,Transformers: Revenge of the Fallen,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",Michael Bay,"['egypt', 'sun', 'chaos']","['Science Fiction', 'Action', 'Adventure']"
36,Transformers: Age of Extinction,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']",Michael Bay,"['sequel', 'alien', 'transformers']","['Science Fiction', 'Action', 'Adventure']"
37,Oz: The Great and Powerful,"['James Franco', 'Mila Kunis', 'Rachel Weisz']",Sam Raimi,"['circus', 'witch', 'magic']","['Fantasy', 'Adventure', 'Family']"
38,The Amazing Spider-Man 2,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",Marc Webb,"['obsession', 'marvel comic', 'sequel']","['Action', 'Adventure', 'Fantasy']"
39,TRON: Legacy,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde']",Joseph Kosinski,"['artificial intelligence', 'secret identity', 'computer program']","['Adventure', 'Action', 'Science Fiction']"
40,Cars 2,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']",John Lasseter,"['car race', 'sequel', 'comedy']","['Animation', 'Family', 'Adventure']"
41,Green Lantern,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']",Martin Campbell,"['dc comics', 'transformation', 'superhero']","['Adventure', 'Action', 'Thriller']"
42,Toy Story 3,"['Tom Hanks', 'Tim Allen', 'Ned Beatty']",Lee Unkrich,"['hostage', 'college', 'toy']","['Animation', 'Family', 'Comedy']"
43,Terminator Salvation,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin']",McG,"['saving the world', 'artificial intelligence', 'prophecy']","['Action', 'Science Fiction', 'Thriller']"
44,Furious 7,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",James Wan,"['car race', 'speed', 'revenge']",['Action']
45,World War Z,"['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove']",Marc Forster,"['dystopia', 'apocalypse', 'zombie']","['Action', 'Drama', 'Horror']"
46,X-Men: Days of Future Past,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']",Bryan Singer,"['1970s', 'mutant', 'time travel']","['Action', 'Adventure', 'Fantasy']"
47,Star Trek Into Darkness,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana']",J.J. Abrams,"['spacecraft', 'friendship', 'sequel']","['Action', 'Adventure', 'Science Fiction']"
48,Jack the Giant Slayer,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor']",Bryan Singer,"['based on fairy tale', 'giant']","['Action', 'Family', 'Fantasy']"
49,The Great Gatsby,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']",Baz Luhrmann,"['based on novel', 'infidelity', 'obsession']","['Drama', 'Romance']"
50,Prince of Persia: The Sands of Time,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley']",Mike Newell,"['persia', 'sandstorm', 'brother against brother']","['Adventure', 'Fantasy', 'Action']"
51,Pacific Rim,"['Idris Elba', 'Charlie Hunnam', 'Charlie Day']",Guillermo del Toro,"['dystopia', 'giant robot', 'giant monster']","['Action', 'Science Fiction', 'Adventure']"
52,Transformers: Dark of the Moon,"['Shia LaBeouf', 'John Malkovich', 'Ken Jeong']",Michael Bay,"['moon', 'spacecraft', 'traitor']","['Action', 'Science Fiction', 'Adventure']"
53,Indiana Jones and the Kingdom of the Crystal Skull,"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf']",Steven Spielberg,"['saving the world', 'riddle', 'whip']","['Adventure', 'Action']"
54,The Good Dinosaur,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright']",Peter Sohn,"['tyrannosaurus rex', 'friends', 'alternate history']","['Adventure', 'Animation', 'Family']"
55,Brave,"['Kelly Macdonald', 'Julie Walters', 'Billy Connolly']",Brenda Chapman,"['scotland', 'rebel', 'bravery']","['Animation', 'Adventure', 'Comedy']"
56,Star Trek Beyond,"['Chris Pine', 'Zachary Quinto', 'Karl Urban']",Justin Lin,"['sequel', 'stranded', 'hatred']","['Action', 'Adventure', 'Science Fiction']"
57,WALL·E,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",Andrew Stanton,['romantic comedy'],"['Animation', 'Family']"
58,Rush Hour 3,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada']",Brett Ratner,['ambassador'],"['Action', 'Comedy', 'Crime']"
59,2012,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor']",Roland Emmerich,"['civilization', 'natural disaster', 'end of the world']","['Action', 'Adventure', 'Science Fiction']"
60,A Christmas Carol,"['Gary Oldman', 'Jim Carrey', 'Steve Valentine']",Robert Zemeckis,"['holiday', 'based on novel', 'victorian england']","['Animation', 'Drama']"
61,Jupiter Ascending,"['Mila Kunis', 'Channing Tatum', 'Sean Bean']",Lilly Wachowski,"['jupiter', 'space', 'woman director']","['Science Fiction', 'Fantasy', 'Action']"
62,The Legend of Tarzan,"['Alexander Skarsgård', 'Margot Robbie', 'Christoph Waltz']",David Yates,"['africa', 'feral child', 'tarzan']","['Action', 'Adventure']"
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['William Moseley', 'Anna Popplewell', 'Skandar Keynes']",Andrew Adamson,"['saving the world', 'witch', 'based on novel']","['Adventure', 'Family', 'Fantasy']"
64,X-Men: Apocalypse,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",Bryan Singer,"['mutant', 'supernatural powers', 'marvel comic']",['Science Fiction']
65,The Dark Knight,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",Christopher Nolan,"['dc comics', 'crime fighter', 'secret identity']","['Drama', 'Action', 'Crime']"
66,Up,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']",Pete Docter,"['age difference', 'central and south america', 'balloon']","['Animation', 'Comedy', 'Family']"
67,Monsters vs Aliens,"['Seth Rogen', 'Reese Witherspoon', 'Hugh Laurie']",Conrad Vernon,"['alien', 'giant robot', 'duringcreditsstinger']","['Animation', 'Family', 'Adventure']"
68,Iron Man,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges']",Jon Favreau,"['middle east', 'arms dealer', 'malibu']","['Action', 'Science Fiction', 'Adventure']"
69,Hugo,"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield']",Martin Scorsese,"['library', 'clock', 'film director']","['Adventure', 'Drama', 'Family']"
70,Wild Wild West,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh']",Barry Sonnenfeld,"['steampunk', 'based on tv series', 'steam locomotive']","['Action', 'Adventure', 'Comedy']"
71,The Mummy: Tomb of the Dragon Emperor,"['Brendan Fraser', 'Jet Li', 'John Hannah']",Rob Cohen,[],"['Adventure', 'Action', 'Fantasy']"
72,Suicide Squad,"['Will Smith', 'Margot Robbie', 'Joel Kinnaman']",David Ayer,"['dc comics', 'shared universe', 'anti hero']","['Action', 'Adventure', 'Crime']"
73,Evan Almighty,"['Steve Carell', 'Lauren Graham', 'John Goodman']",Tom Shadyac,"['father son relationship', 'daily life', 'married couple']","['Fantasy', 'Comedy', 'Family']"
74,Edge of Tomorrow,"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson']",Doug Liman,"['deja vu', 'time warp', 'restart']","['Action', 'Science Fiction']"
75,Waterworld,"['Kevin Costner', 'Chaim Girafi', 'Rick Aviles']",Kevin Reynolds,"['ocean', 'tattoo', 'mutant']","['Adventure', 'Action']"
76,G.I. Joe: The Rise of Cobra,"['Dennis Quaid', 'Channing Tatum', 'Marlon Wayans']",Stephen Sommers,"['terrorist', 'secret', 'hostage']","['Adventure', 'Action', 'Thriller']"
77,Inside Out,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind']",Pete Docter,"['dream', 'cartoon', 'imaginary friend']","['Drama', 'Comedy', 'Animation']"
78,The Jungle Book,"['Neel Sethi', 'Bill Murray', 'Ben Kingsley']",Jon Favreau,"['based on novel', 'snake', 'wolf']","['Family', 'Adventure', 'Drama']"
79,Iron Man 2,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",Jon Favreau,"['malibu', 'marvel comic', 'superhero']","['Adventure', 'Action', 'Science Fiction']"
80,Snow White and the Huntsman,"['Kristen Stewart', 'Charlize Theron', 'Chris Hemsworth']",Rupert Sanders,"['queen', 'magic', 'fairy tale']","['Adventure', 'Fantasy', 'Drama']"
81,Maleficent,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley']",Robert Stromberg,"['fairy tale', 'villain', 'sleeping beauty']","['Fantasy', 'Adventure', 'Action']"
82,Dawn of the Planet of the Apes,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman']",Matt Reeves,"['leader', 'colony', 'post-apocalyptic']","['Science Fiction', 'Action', 'Drama']"
83,The Lovers,"['Josh Hartnett', 'Simone Kessell', 'Tamsin Egerton']",Roland Joffé,[],"['Action', 'Adventure', 'Science Fiction']"
84,47 Ronin,"['Keanu Reeves', 'Hiroyuki Sanada', 'Kou Shibasaki']",Carl Rinsch,"['japan', 'suicide', 'samurai']","['Drama', 'Action', 'Adventure']"
85,Captain America: The Winter Soldier,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson']",Anthony Russo,"['washington d.c.', 'future', 'shield']","['Action', 'Adventure', 'Science Fiction']"
86,Shrek Forever After,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",Mike Mitchell,"['ogre', '3d']","['Comedy', 'Adventure', 'Fantasy']"
87,Tomorrowland,"['Britt Robertson', 'George Clooney', 'Raffey Cassidy']",Brad Bird,"['inventor', 'apocalypse', 'destiny']","['Adventure', 'Family', 'Mystery']"
88,Big Hero 6,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney']",Chris Williams,"['brother brother relationship', 'hero', 'talent']","['Adventure', 'Family', 'Animation']"
89,Wreck-It Ralph,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer']",Rich Moore,"['support group', 'product placement', 'bullying']","['Family', 'Animation', 'Comedy']"
90,The Polar Express,"['Tom Hanks', 'Michael Jeter', 'Nona Gaye']",Robert Zemeckis,"['santa claus', 'nerd', 'faith']","['Adventure', 'Animation', 'Family']"
91,Independence Day: Resurgence,"['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman']",Roland Emmerich,"['alternate history', 'alien invasion']","['Action', 'Adventure', 'Science Fiction']"
92,How to Train Your Dragon,"['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson']",Chris Sanders,"['flying', 'blacksmith', 'arena']","['Fantasy', 'Adventure', 'Animation']"
93,Terminator 3: Rise of the Machines,"['Arnold Schwarzenegger', 'Nick Stahl', 'Claire Danes']",Jonathan Mostow,"['saving the world', 'artificial intelligence', 'man vs machine']","['Action', 'Thriller', 'Science Fiction']"
94,Guardians of the Galaxy,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']",James Gunn,"['marvel comic', 'spaceship', 'space']","['Action', 'Science Fiction', 'Adventure']"
95,Interstellar,"['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway']",Christopher Nolan,"['saving the world', 'artificial intelligence', 'father son relationship']","['Adventure', 'Drama', 'Science Fiction']"
96,Inception,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page']",Christopher Nolan,"['loss of lover', 'dream', 'kidnapping']","['Action', 'Thriller', 'Science Fiction']"
97,Shin Godzilla,"['Hiroki Hasegawa', 'Yutaka Takenouchi', 'Satomi Ishihara']",Hideaki Anno,"['monster', 'godzilla', 'giant monster']","['Action', 'Adventure', 'Drama']"
98,The Hobbit: An Unexpected Journey,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage']",Peter Jackson,"['riddle', 'elves', 'dwarves']","['Adventure', 'Fantasy', 'Action']"
99,The Fast and the Furious,"['Paul Walker', 'Vin Diesel', 'Michelle Rodriguez']",Rob Cohen,"['street gang', 'car race', 'undercover']","['Action', 'Crime', 'Thriller']"
100,The Curious Case of Benjamin Button,"['Cate Blanchett', 'Brad Pitt', 'Tilda Swinton']",David Fincher,"['diary', 'navy', 'funeral']","['Fantasy', 'Drama', 'Thriller']"
101,X-Men: First Class,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",Matthew Vaughn,"['cia', 'mutant', 'mine']","['Action', 'Science Fiction', 'Adventure']"
102,The Hunger Games: Mockingjay - Part 2,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",Francis Lawrence,"['revolution', 'strong woman', 'dystopia']","['Action', 'Adventure', 'Science Fiction']"
103,The Sorcerer's Apprentice,"['Nicolas Cage', 'Jay Baruchel', 'Monica Bellucci']",Jon Turteltaub,"['witch', 'fire', 'wolf']","['Fantasy', 'Adventure', 'Action']"
104,Poseidon,"['Kurt Russell', 'Richard Dreyfuss', 'Josh Lucas']",Wolfgang Petersen,"[""new year's eve"", 'fire', 'drowning']","['Adventure', 'Action', 'Drama']"
105,Alice Through the Looking Glass,"['Johnny Depp', 'Mia Wasikowska', 'Anne Hathaway']",James Bobin,"['based on novel', 'clock', 'queen']",['Fantasy']
106,Shrek the Third,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",Chris Miller,"['ambush', 'sadness', 'stage']","['Fantasy', 'Adventure', 'Animation']"
107,Warcraft,"['Paula Patton', 'Travis Fimmel', 'Ben Foster']",Duncan Jones,"['video game', 'elves', 'orcs']","['Action', 'Adventure', 'Fantasy']"
108,Terminator Genisys,"['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke']",Alan Taylor,"['saving the world', 'artificial intelligence', 'cyborg']","['Science Fiction', 'Action', 'Thriller']"
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,"['Skandar Keynes', 'Georgie Henley', 'Simon Pegg']",Michael Apted,"['based on novel', 'magic', 'good vs evil']","['Adventure', 'Family', 'Fantasy']"
110,Pearl Harbor,"['Ben Affleck', 'Josh Hartnett', 'Kate Beckinsale']",Michael Bay,"['nurse', 'patriotism', 'hawaii']","['History', 'Romance', 'War']"
111,Transformers,"['Shia LaBeouf', 'Josh Duhamel', 'Megan Fox']",Michael Bay,"['destroy', 'transformation', 'alien']","['Adventure', 'Science Fiction', 'Action']"
112,Alexander,"['Colin Farrell', 'Angelina Jolie', 'Val Kilmer']",Oliver Stone,"['aristotle', 'egypt', 'greece']","['War', 'History', 'Action']"
113,Harry Potter and the Order of the Phoenix,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",David Yates,"['prophecy', 'witch', 'loss of lover']","['Adventure', 'Fantasy', 'Family']"
114,Harry Potter and the Goblet of Fire,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",Mike Newell,"['magic', 'dying and death', 'broom']","['Adventure', 'Fantasy', 'Family']"
115,Hancock,"['Will Smith', 'Charlize Theron', 'Jason Bateman']",Peter Berg,"['flying', 'alcohol', ""love of one's life""]","['Fantasy', 'Action']"
116,I Am Legend,"['Will Smith', 'Alice Braga', 'Charlie Tahan']",Francis Lawrence,"['saving the world', 'lost civilisation', 'post-apocalyptic']","['Drama', 'Horror', 'Action']"
117,Charlie and the Chocolate Factory,"['Johnny Depp', 'Freddie Highmore', 'David Kelly']",Tim Burton,"['london england', 'father son relationship', 'chocolate']","['Adventure', 'Comedy', 'Family']"
118,Ratatouille,"['Patton Oswalt', 'Ian Holm', 'Lou Romano']",Jan Pinkava,"['paris', 'brother brother relationship', 'expensive restaurant']","['Animation', 'Comedy', 'Family']"
119,Batman Begins,"['Christian Bale', 'Michael Caine', 'Liam Neeson']",Christopher Nolan,"['himalaya', 'martial arts', 'dc comics']","['Action', 'Crime', 'Drama']"
120,Madagascar: Escape 2 Africa,"['Ben Stiller', 'Jada Pinkett Smith', 'David Schwimmer']",Eric Darnell,"['africa', 'jealousy', 'dance']","['Family', 'Animation']"
121,Night at the Museum: Battle of the Smithsonian,"['Ben Stiller', 'Amy Adams', 'Owen Wilson']",Shawn Levy,"['museum', 'theodore roosevelt', 'duringcreditsstinger']","['Adventure', 'Fantasy', 'Action']"
122,X-Men Origins: Wolverine,"['Hugh Jackman', 'Liev Schreiber', 'Danny Huston']",Gavin Hood,"['corruption', 'mutant', 'boxer']","['Adventure', 'Action', 'Thriller']"
123,The Matrix Revolutions,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",Lilly Wachowski,"['saving the world', 'artificial intelligence', 'man vs machine']","['Adventure', 'Action', 'Thriller']"
124,Frozen,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff']",Chris Buck,"['queen', 'musical', 'princess']","['Animation', 'Adventure', 'Family']"
125,The Matrix Reloaded,"['Keanu Reeves', 'Carrie-Anne Moss', 'Laurence Fishburne']",Lilly Wachowski,"['saving the world', 'artificial intelligence', 'man vs machine']","['Adventure', 'Action', 'Thriller']"
126,Thor: The Dark World,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']",Alan Taylor,"['marvel comic', 'superhero', 'based on comic book']","['Action', 'Adventure', 'Fantasy']"
127,Mad Max: Fury Road,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']",George Miller,"['future', 'chase', 'post-apocalyptic']","['Action', 'Adventure', 'Science Fiction']"
128,Angels & Demons,"['Tom Hanks', 'Ewan McGregor', 'Ayelet Zurer']",Ron Howard,"['rome', 'vatican', 'based on novel']","['Thriller', 'Mystery']"
129,Thor,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']",Kenneth Branagh,"['new mexico', 'banishment', 'shield']","['Adventure', 'Fantasy', 'Action']"
130,Bolt,"['John Travolta', 'Miley Cyrus', 'Susie Essman']",Chris Williams,"['hamster', 'kids and family', 'animal']","['Animation', 'Family', 'Adventure']"
131,G-Force,"['Sam Rockwell', 'Penélope Cruz', 'Tracy Morgan']",Hoyt Yeatman,"['dyr', 'duringcreditsstinger']","['Fantasy', 'Action', 'Adventure']"
132,Wrath of the Titans,"['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes']",Jonathan Liebesman,"['underworld', 'hades', 'mythology']",['Adventure']
133,Dark Shadows,"['Johnny Depp', 'Michelle Pfeiffer', 'Helena Bonham Carter']",Tim Burton,"['witch', 'imprisonment', 'vampire']","['Comedy', 'Fantasy']"
134,Mission: Impossible - Rogue Nation,"['Tom Cruise', 'Rebecca Ferguson', 'Simon Pegg']",Christopher McQuarrie,"['london england', 'spy', 'austria']","['Action', 'Adventure', 'Thriller']"
135,The Wolfman,"['Benicio del Toro', 'Anthony Hopkins', 'Emily Blunt']",Joe Johnston,"['father son relationship', 'victorian england', 'remake']","['Drama', 'Horror', 'Thriller']"
136,Bee Movie,"['Jerry Seinfeld', 'Renée Zellweger', 'Jim Cummings']",Steve Hickner,"['factory worker', 'tennis', 'flower']","['Family', 'Animation', 'Adventure']"
137,Kung Fu Panda 2,"['Jack Black', 'Angelina Jolie', 'Dustin Hoffman']",Jennifer Yuh Nelson,"['martial arts', 'hope', 'fleet']","['Animation', 'Family']"
138,The Last Airbender,"['Noah Ringer', 'Nicola Peltz', 'Jackson Rathbone']",M. Night Shyamalan,"['fire', 'ice', 'war ship']","['Action', 'Adventure', 'Family']"
139,Mission: Impossible III,"['Tom Cruise', 'Philip Seymour Hoffman', 'Ving Rhames']",J.J. Abrams,"['berlin', 'cia', 'vatican']","['Adventure', 'Action', 'Thriller']"
140,White House Down,"['Channing Tatum', 'Jamie Foxx', 'Joey King']",Roland Emmerich,"['usa president', 'conspiracy', 'secret service']","['Action', 'Drama', 'Thriller']"
141,Mars Needs Moms,"['Seth Green', 'Joan Cusack', 'Dan Fogler']",Simon Wells,"['boy', 'alien', 'rescue']","['Adventure', 'Animation', 'Family']"
142,Flushed Away,"['Hugh Jackman', 'Kate Winslet', 'Ian McKellen']",David Bowers,"['london england', 'underworld', 'return']","['Adventure', 'Animation', 'Comedy']"
143,Pan,"['Levi Miller', 'Garrett Hedlund', 'Hugh Jackman']",Joe Wright,"['flying', 'magic', 'fairy tale']","['Adventure', 'Family', 'Fantasy']"
144,Mr. Peabody & Sherman,"['Ty Burrell', 'Max Charles', 'Ariel Winter']",Rob Minkoff,"['father son relationship', 'egypt', 'intelligence']","['Animation', 'Adventure', 'Family']"
145,Troy,"['Brad Pitt', 'Orlando Bloom', 'Eric Bana']",Wolfgang Petersen,"['brother brother relationship', 'adultery', 'mythology']","['Adventure', 'Drama', 'War']"
146,Madagascar 3: Europe's Most Wanted,"['Ben Stiller', 'Sacha Baron Cohen', 'David Schwimmer']",Conrad Vernon,"['madagascar', '3d']","['Animation', 'Family']"
147,Die Another Day,"['Pierce Brosnan', 'Halle Berry', 'Rosamund Pike']",Lee Tamahori,"['laser', 'british secret service', 'secret service agent']","['Adventure', 'Action', 'Thriller']"
148,Ghostbusters,"['Melissa McCarthy', 'Kristen Wiig', 'Kate McKinnon']",Paul Feig,"['female friendship', 'ghost hunting', 'reboot']","['Action', 'Fantasy', 'Comedy']"
149,Armageddon,"['Bruce Willis', 'Billy Bob Thornton', 'Ben Affleck']",Michael Bay,"['saving the world', 'paris', 'moon']","['Action', 'Thriller', 'Science Fiction']"
150,Men in Black II,"['Tommy Lee Jones', 'Will Smith', 'Rip Torn']",Barry Sonnenfeld,"['saving the world', 'secret identity', 'sun glasses']","['Action', 'Adventure', 'Comedy']"
